port_id,port_name,port_city,port_state,lat,lon
1904,"Birmingham, Alabama - 1904 ",Birmingham,AL,33.5206824,-86.8024326
1910,"Huntsville, Alabama - 1910 ",Huntsville,AL,34.729847,-86.5859011
1901,"Mobile (Including Theodore), Alabama - 1901 ",Mobile,AL,30.6867339,-88.0848929
3104,"Alcan, Alaska - 3104 ",Alcan,AK,62.72306,-141.18806
3126,"Anchorage, Alaska - 3126 ",Anchorage,AK,61.2163129,-149.894852
3106,"Dalton Cache, Alaska - 3106 ",Dalton Cache,AK,64.724809,-153.629618
3129,"Dutch Harbor, Alaska - 3129 ",Dutch Harbor,AK,53.8867533,-166.5418001
3111,"Fairbanks, Alaska - 3111 ",Fairbanks,AK,64.837845,-147.716675
3101,"Juneau, Alaska - 3101 ",Juneau,AK,58.3019496,-134.419734
3102,"Ketchikan, Alaska - 3102 ",Ketchikan,AK,55.3430696,-131.6466819
3127,"Kodiak, Alaska - 3127 ",Anchorage,AK,61.2163129,-149.894852
3128,"Nome, Alaska - 3128 ",Nome,AK,64.5011111,-165.4063889
3115,"Sitka, Alaska - 3115 ",Sitka,AK,57.0524973,-135.337612
3103,"Skagway, Alaska - 3103 ",Skagway,AK,59.4556412,-135.3116103
3107,"Valdez, Alaska - 3107 ",Anchorage,AK,61.2163129,-149.894852
3105,"Wrangell, Alaska - 3105 ",Wrangell,AK,56.4706022,-132.3829431
2601,"Douglas, Arizona - 2601 ",Douglas,AZ,31.3471741,-109.5383567
2602,"Lukeville, Arizona - 2602 ",Lukeville,AZ,31.8819798,-112.8153361
2603,"Naco, Arizona - 2603 ",Naco,AZ,31.3373721,-109.9478251
2604,"Nogales, Arizona - 2604 ",Nogales,AZ,31.3402134,-110.9360818
2605,"Phoenix, Arizona - 2605 ",Phoenix,AZ,33.4484367,-112.074141
2682,"Phoenix-Mesa Gateway Airport, Arizona - 2682 ",Mesa,AZ,33.4151005,-111.8314552
2608,"San Luis, Arizona - 2608 ",San Luis,AZ,32.4934395,-114.7737551
2606,"Sasabe, Arizona - 2606 ",Sasabe,AZ,31.4887016,-111.5420505
2681,"Scottsdale Airport, Arizona - 2681 ","Scottsdale,",AZ,33.4942189,-111.926018
2609,"Tucson, Arizona - 2609 ",Tucson,AZ,32.2228765,-110.9748477
2003,"Little Rock-North Little Rock, Arkansas - 2003 ",Little Rock,AR,34.7465071,-92.2896267
2084,"Rogers Airport, Arkansas - 2084 ",Rogers,AR,36.3320197,-94.1185366
2502,"Andrade - Class A, California - 2502 ",Winterhaven,CA,32.7396688,-114.6351955
2507,"Calexico East - Class A, California - 2507 ",Calexico,CA,32.6790572,-115.498703
2503,"Calexico West - Class A, California - 2503 ",Calexico,CA,32.6790572,-115.498703
2802,"Eureka, California - 2802 ",Eureka,CA,40.7906871,-124.1673746
2803,"Fresno (2803/2882), California - 2803 ",Fresno,CA,36.7394421,-119.7848307
2720,"Los Angeles International Airport-Cargo Operations, California - 2720 ",Los Angeles,CA,34.0536909,-118.242766
2704,"Los Angeles/Long Beach Seaport, California - 2704 ",Long Beach,CA,33.7690164,-118.191604
2721,"Ontario Airport, California - 2721 ",Ontario,CA,34.065846,-117.6484304
2506,"Otay Mesa, California - 2506 ",San Diego,CA,32.7174202,-117.1627728
2781,"Palm Springs, California - 2781 ",Palm Springs,CA,33.8246269,-116.540303
2713,"Port Hueneme, California - 2713 ",Oxnard,CA,34.1976308,-119.1803818
2835,"Sacramento, California - 2835 ",Sacramento,CA,38.5810606,-121.493895
2782,"San Bernardino International Airport, California - 2782 ",San Bernardino,CA,34.1081621,-117.28946
2501,"San Diego, California - 2501 ",San Diego,CA,32.7174202,-117.1627728
2801,"San Francisco International Airport, California - 2801 ",San Francisco,CA,37.7790262,-122.419906
2809,"San Francisco, California - 2809 ",San Francisco,CA,37.7790262,-122.419906
2834,"San Jose International Airport, California - 2834 ",San Jose,CA,37.3361663,-121.890591
2504,"San Ysidro - Class A, California - 2504 ",San Ysidro,CA,32.5520013,-117.0430813
2505,"Tecate - Class A, California - 2505 ",Tecate,CA,32.5833711,-116.6285217
2783,"Victorville - S. California Logistics Airport, California - 2783 ",Victorville,CA,34.5361067,-117.2911565
3384,"Centennial Airport, Colorado - 3384 ",Englewood,CO,39.6482059,-104.9879641
3307,"Denver, Colorado - 3307 ",Denver,CO,39.7392364,-104.984862
3385,"Eagle County Regional Airport, Colorado - 3385 ",Gypsum,CO,39.6469294,-106.951711
